Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
MA,US,03/06/2020,3.0,0.0,1.0
MA,US,03/06/2020,2.0,0.0,0.0
CO,US,03/06/2020,2.0,0.0,0.0
AZ,US,03/06/2020,2.0,0.0,0.0
CO,US,03/06/2020,2.0,0.0,0.0
NC,US,03/06/2020,1.0,0.0,0.0
PA,US,03/06/2020,1.0,0.0,0.0
NE,US,03/06/2020,1.0,0.0,0.0
KY,US,03/06/2020,1.0,0.0,0.0
GA,US,03/06/2020,1.0,0.0,0.0
IN,US,03/06/2020,1.0,0.0,0.0
MA,US,03/06/2020,1.0,0.0,0.0
NY,US,03/06/2020,1.0,0.0,0.0
MA,US,03/06/2020,1.0,0.0,0.0
MN,US,03/06/2020,1.0,0.0,0.0
NV,US,03/06/2020,1.0,0.0,0.0
PA,US,03/06/2020,1.0,0.0,0.0
CA,US,03/06/2020,1.0,0.0,0.0
WA,US,03/07/2020,71.0,15.0,1.0
NY,US,03/07/2020,57.0,0.0,0.0
CA,US,03/07/2020,32.0,0.0,1.0
WA,US,03/07/2020,27.0,1.0,0.0
CA,US,03/07/2020,14.0,0.0,0.0
NY,US,03/07/2020,11.0,0.0,0.0
CA,US,03/07/2020,9.0,0.0,0.0
IL,US,03/07/2020,6.0,0.0,2.0
TX,US,03/07/2020,5.0,0.0,0.0
NJ,US,03/07/2020,4.0,0.0,0.0
NY,US,03/07/2020,4.0,0.0,0.0
CO,US,03/07/2020,3.0,0.0,0.0
TX,US,03/07/2020,3.0,0.0,0.0
GA,US,03/07/2020,3.0,0.0,0.0
AZ,US,03/07/2020,3.0,0.0,1.0
RI,US,03/07/2020,3.0,0.0,0.0
OR,US,03/07/2020,3.0,0.0,0.0
CA,US,03/07/2020,2.0,0.0,0.0
FL,US,03/07/2020,2.0,0.0,0.0
CT,US,03/07/2020,2.0,0.0,0.0
GA,US,03/07/2020,2.0,0.0,0.0
FL,US,03/07/2020,2.0,0.0,0.0
AZ,US,03/07/2020,2.0,0.0,0.0
NY,US,03/07/2020,2.0,0.0,0.0
NY,US,03/07/2020,2.0,0.0,0.0
SC,US,03/07/2020,1.0,0.0,0.0
WA,US,03/07/2020,1.0,0.0,0.0
GA,US,03/07/2020,1.0,0.0,0.0
UT,US,03/07/2020,1.0,0.0,0.0
CO,US,03/07/2020,1.0,0.0,0.0
HI,US,03/07/2020,1.0,0.0,0.0
WA,US,03/07/2020,1.0,0.0,0.0
SC,US,03/07/2020,1.0,0.0,0.0
OR,US,03/07/2020,1.0,0.0,0.0
CA,US,03/07/2020,1.0,0.0,0.0
MA,US,03/07/2020,1.0,0.0,0.0
WA,US,03/07/2020,1.0,0.0,0.0
MA,US,03/07/2020,1.0,0.0,0.0
CA,US,03/07/2020,1.0,0.0,0.0
OK,US,03/07/2020,1.0,0.0,0.0
TX,US,03/07/2020,0.0,0.0,0.0
WA,US,03/08/2020,83.0,17.0,1.0
NY,US,03/08/2020,83.0,0.0,0.0
CA,US,03/08/2020,38.0,0.0,1.0
WA,US,03/08/2020,31.0,1.0,0.0
CA,US,03/08/2020,14.0,0.0,0.0
CA,US,03/08/2020,12.0,0.0,0.0
NY,US,03/08/2020,12.0,0.0,0.0
CA,US,03/08/2020,9.0,0.0,0.0
MA,US,03/08/2020,8.0,0.0,1.0
OR,US,03/08/2020,8.0,0.0,0.0
IL,US,03/08/2020,7.0,0.0,2.0
MA,US,03/08/2020,7.0,0.0,0.0
TX,US,03/08/2020,6.0,0.0,0.0
MA,US,03/08/2020,6.0,0.0,0.0
NY,US,03/08/2020,5.0,0.0,0.0
NJ,US,03/08/2020,4.0,0.0,0.0
NH,US,03/08/2020,4.0,0.0,0.0
MD,US,03/08/2020,4.0,0.0,0.0
PA,US,03/08/2020,4.0,0.0,0.0
WA,US,03/08/2020,4.0,0.0,0.0
NV,US,03/08/2020,2.0,0.0,0.0
VA,US,03/08/2020,2.0,0.0,0.0
FL,US,03/08/2020,2.0,1.0,0.0
NH,US,03/08/2020,2.0,0.0,0.0
DC,US,03/08/2020,2.0,0.0,0.0
NV,US,03/08/2020,2.0,0.0,0.0
MA,US,03/08/2020,1.0,0.0,0.0
TN,US,03/08/2020,1.0,0.0,0.0
OR,US,03/08/2020,1.0,0.0,0.0
CT,US,03/08/2020,1.0,0.0,0.0
CA,US,03/08/2020,1.0,0.0,0.0
MD,US,03/08/2020,1.0,0.0,0.0
IN,US,03/08/2020,1.0,0.0,0.0
NJ,US,03/08/2020,1.0,0.0,0.0
KS,US,03/08/2020,1.0,0.0,0.0
WA,US,03/08/2020,1.0,0.0,0.0
FL,US,03/08/2020,1.0,0.0,0.0
OR,US,03/08/2020,1.0,0.0,0.0
FL,US,03/08/2020,1.0,0.0,0.0
GA,US,03/08/2020,1.0,0.0,0.0
CA,US,03/08/2020,1.0,0.0,0.0
FL,US,03/08/2020,1.0,1.0,0.0
TN,US,03/08/2020,1.0,0.0,0.0
WA,US,03/08/2020,1.0,0.0,0.0
MO,US,03/08/2020,1.0,0.0,0.0
NY,US,03/08/2020,1.0,0.0,0.0
NY,US,03/08/2020,1.0,0.0,0.0
VT,US,03/08/2020,1.0,0.0,0.0
MA,US,03/08/2020,1.0,0.0,0.0
FL,US,03/08/2020,1.0,0.0,0.0
NY,US,03/09/2020,98.0,0.0,0.0
NY,US,03/09/2020,19.0,0.0,0.0
NY,US,03/09/2020,17.0,0.0,0.0
CA,US,03/09/2020,7.0,1.0,0.0
TX,US,03/09/2020,6.0,0.0,0.0
GA,US,03/09/2020,5.0,0.0,0.0
PA,US,03/09/2020,5.0,0.0,0.0
SC,US,03/09/2020,4.0,0.0,0.0
CA,US,03/09/2020,4.0,0.0,0.0
NY,US,03/09/2020,4.0,0.0,0.0
FL,US,03/09/2020,3.0,0.0,0.0
GA,US,03/09/2020,3.0,0.0,0.0
NE,US,03/09/2020,3.0,0.0,0.0
IA,US,03/09/2020,3.0,0.0,0.0
CA,US,03/09/2020,3.0,0.0,0.0
KY,US,03/09/2020,2.0,0.0,0.0
IN,US,03/09/2020,2.0,0.0,0.0
HI,US,03/09/2020,2.0,0.0,0.0
FL,US,03/09/2020,2.0,0.0,0.0
VT,US,03/09/2020,1.0,0.0,0.0
MN,US,03/09/2020,1.0,0.0,0.0
FL,US,03/09/2020,1.0,0.0,0.0
GA,US,03/09/2020,1.0,0.0,0.0
TX,US,03/09/2020,1.0,0.0,0.0
WA,US,03/09/2020,1.0,1.0,0.0
KY,US,03/09/2020,1.0,0.0,0.0
LA,US,03/09/2020,1.0,0.0,0.0
NH,US,03/09/2020,1.0,0.0,0.0
CA,US,03/09/2020,1.0,0.0,0.0
SC,US,03/09/2020,1.0,0.0,0.0
WA,US,03/10/2020,267.0,23.0,1.0
NY,US,03/10/2020,173.0,0.0,0.0
CA,US,03/10/2020,144.0,2.0,2.0
MA,US,03/10/2020,92.0,0.0,1.0
GA,US,03/10/2020,17.0,0.0,0.0
CO,US,03/10/2020,15.0,0.0,0.0
FL,US,03/10/2020,15.0,2.0,0.0
NJ,US,03/10/2020,15.0,1.0,0.0
OR,US,03/10/2020,15.0,0.0,0.0
TX,US,03/10/2020,13.0,0.0,0.0
IL,US,03/10/2020,12.0,0.0,2.0
PA,US,03/10/2020,12.0,0.0,0.0
IA,US,03/10/2020,8.0,0.0,0.0
MD,US,03/10/2020,8.0,0.0,0.0
NC,US,03/10/2020,7.0,0.0,0.0
SC,US,03/10/2020,7.0,0.0,0.0
TN,US,03/10/2020,7.0,0.0,0.0
VA,US,03/10/2020,7.0,0.0,0.0
AZ,US,03/10/2020,6.0,0.0,1.0
IN,US,03/10/2020,6.0,0.0,0.0
KY,US,03/10/2020,6.0,0.0,0.0
DC,US,03/10/2020,5.0,0.0,0.0
NV,US,03/10/2020,4.0,0.0,0.0
NH,US,03/10/2020,4.0,0.0,0.0
MN,US,03/10/2020,3.0,0.0,0.0
NE,US,03/10/2020,3.0,0.0,0.0
OH,US,03/10/2020,3.0,0.0,0.0
RI,US,03/10/2020,3.0,0.0,0.0
WI,US,03/10/2020,3.0,0.0,1.0
CT,US,03/10/2020,2.0,0.0,0.0
HI,US,03/10/2020,2.0,0.0,0.0
OK,US,03/10/2020,2.0,0.0,0.0
UT,US,03/10/2020,2.0,0.0,0.0
KS,US,03/10/2020,1.0,0.0,0.0
LA,US,03/10/2020,1.0,0.0,0.0
MO,US,03/10/2020,1.0,0.0,0.0
VT,US,03/10/2020,1.0,0.0,0.0
AK,US,03/10/2020,0.0,0.0,0.0
AR,US,03/10/2020,0.0,0.0,0.0
DE,US,03/10/2020,0.0,0.0,0.0
ID,US,03/10/2020,0.0,0.0,0.0
ME,US,03/10/2020,0.0,0.0,0.0
MI,US,03/10/2020,0.0,0.0,0.0
MS,US,03/10/2020,0.0,0.0,0.0
MT,US,03/10/2020,0.0,0.0,0.0
NM,US,03/10/2020,0.0,0.0,0.0
ND,US,03/10/2020,0.0,0.0,0.0
SD,US,03/10/2020,0.0,0.0,0.0
WV,US,03/10/2020,0.0,0.0,0.0
WY,US,03/10/2020,0.0,0.0,0.0
WA,US,03/11/2020,366.0,29.0,1.0
NY,US,03/11/2020,220.0,0.0,0.0
CA,US,03/11/2020,177.0,3.0,2.0
MA,US,03/11/2020,95.0,0.0,1.0
CO,US,03/11/2020,34.0,0.0,0.0
FL,US,03/11/2020,28.0,2.0,0.0
IL,US,03/11/2020,25.0,0.0,2.0
GA,US,03/11/2020,23.0,0.0,0.0
NJ,US,03/11/2020,23.0,1.0,0.0
TX,US,03/11/2020,21.0,0.0,0.0
OR,US,03/11/2020,19.0,0.0,0.0
PA,US,03/11/2020,16.0,0.0,0.0
